개념라벨,판정,매핑유형,최종ID,최종라벨,출처,결정근거,후보순위
Current snore frequency,설문항목,관련(광의),HP:0025267,Snoring,hp,정확일치,1
Frequency of breathing stoppage during sleep,설문항목,관련(광의),HP:0002104,Apnea,hp,정확일치,1
Have ever snored,설문항목,관련(광의),HP:0025267,Snoring,hp,정확일치,1
Other reason sleep apnea not treated,설문항목,관련(광의),MONDO:0005296,sleep apnea syndrome,mondo,정확일치,1
Reason sleep apnea not treated,설문항목,관련(광의),MONDO:0005296,sleep apnea syndrome,mondo,정확일치,1
Stopped breathing during sleep,설문항목,관련(광의),HP:0002104,Apnea,hp,정확일치,1
Told by doctor or some other sleep disorder,설문항목,관련(광의),SNOMED:39898005,Sleep disorder,snomed,정확일치,1
Told by doctor that you had sleep apnea,설문항목,관련(광의),MONDO:0005296,sleep apnea syndrome,mondo,정확일치,1
Treated for snoring since sleep study,설문항목,관련(광의),HP:0025267,Snoring,hp,정확일치,1
Weekday or workday: usual hours of sleep,설문항목,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
Weekend or non-workday: usual hours of sleep,설문항목,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
Morning Survey: How long slept (hours),설문항목,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
Morning Survey: How long slept (minutes),설문항목,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
Morning Survey: Quality of sleep compared to usual,설문항목,관련(광의),OBA:2040170,sleep quality,efo,정확일치,1
Morning Survey: Quality of sleep light/deep,설문항목,관련(광의),OBA:2040170,sleep quality,efo,정확일치,1
Morning Survey: Quality of sleep: restless/restful,설문항목,관련(광의),OBA:2040170,sleep quality,efo,정확일치,1
Morning Survey: Quality of sleep: short/long,설문항목,관련(광의),OBA:2040170,sleep quality,efo,정확일치,1
Morning Survey: bottles or cans of beer before bed,설문항목,관련(광의),NCIT:C16273,Alcohol Consumption,mondo,정확일치,1
Morning Survey: cigarettes before bed,설문항목,관련(광의),SNOMED:365981007,Finding of tobacco smoking behavior (finding),snomed,큐레이션질의-1순위,1
Morning Survey: cigars before bed,설문항목,관련(광의),SNOMED:365981007,Finding of tobacco smoking behavior (finding),snomed,큐레이션질의-1순위,1
