개념라벨,판정,최종ID,최종라벨,출처,매핑유형,결정근거
Usual number of naps per week,설문항목,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Any Cardiovascular Disease (CVD) Since Baseline?,자동매핑후보,MONDO:0004995,cardiovascular disorder,mondo,관련,LLM판정-후보1
Any Coronary Heart Disease (CHD) Since Baseline?,자동매핑후보,SNOMED:53741008,Coronary arteriosclerosis,snomed,관련,LLM판정-검증ID
Days to First Revascularization Procedure Since Baseline,자동매핑후보,SNOMED:275227003,Myocardial revascularization (procedure),snomed,관련,LLM재질의(myocardial revascularization)
Days to First myocardial infarction (MI) Procedure Since Baseline,자동매핑후보,SNOMED:275227003,Myocardial revascularization (procedure),snomed,관련,LLM재질의(myocardial revascularization)
Death from myocardial infarct (MI) since Baseline?,자동매핑후보,MONDO:0005068,myocardial infarction,mondo,관련,LLM판정-검증ID
Event type,관리변수,,(매핑비대상),,무매핑,LLM판정-관리변수
Fatal Heart Attack Since Baseline?,자동매핑후보,MONDO:0005068,myocardial infarction,mondo,관련,LLM판정-검증ID
Incident Atrial Fibrillation (AF) after SHHS Visit 1,자동매핑후보,SNOMED:49436004,Atrial fibrillation,snomed,관련,LLM판정-검증ID
Number of Congestive Heart Failure (CHF) episodes Prior to Baseline,자동매핑후보,SNOMED:42343007,Congestive heart failure,snomed,관련,LLM판정-검증ID
Number of Percutaneous transluminal coronary angioplasties (PTCAs) Since Baseline,자동매핑후보,EFO:0003951,percutaneous transluminal coronary angioplasty,efo,관련,LLM판정-검증ID
Number of Revascularization Procedures Since Baseline,자동매핑후보,SNOMED:275227003,Myocardial revascularization (procedure),snomed,관련,LLM재질의(myocardial revascularization)
Number of Strokes Since Baseline,자동매핑후보,SNOMED:230690007,Cerebrovascular accident,snomed,관련,LLM판정-검증ID
Type of stroke,자동매핑후보,SNOMED:230690007,Cerebrovascular accident,snomed,관련,LLM판정-검증ID
Education level,자동매핑후보,SNOMED:105421008,Educational achievement,snomed,관련,LLM재질의(educational achievement)
Ethnicity,자동매핑후보,SNOMED:372148003,Ethnic group,snomed,등가,LLM판정-후보1
Currently smoking cigarettes,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Apnea-Hypopnea Index : (All apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep,자동매핑후보,EFO:0920131,apnea-hypopnea index measurement,efo,관련,LLM판정-후보1
Apnea-Hypopnea Index : (All apneas + hypopneas with >= 4% oxygen desaturation or with arousal) / hour of sleep,자동매핑후보,EFO:0920131,apnea-hypopnea index measurement,efo,관련,LLM판정-후보1
Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep,자동매핑후보,EFO:0920131,apnea-hypopnea index measurement,efo,관련,LLM판정-후보1
Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of sleep,자동매핑후보,EFO:0920131,apnea-hypopnea index measurement,efo,관련,LLM판정-후보1
Subject age,자동매핑후보,SNOMED:397669002,Age,snomed,등가,LLM재질의(age)
Subject sex,자동매핑후보,SNOMED:263495000,Gender,snomed,등가,LLM판정-검증ID
Do not get enough sleep,자동매핑후보,SNOMED:248256006,Not getting enough sleep,snomed,관련,LLM판정-후보1
Loudness of snoring,자동매핑후보,HP:0025267,Snoring,hp,관련,LLM판정-검증ID
Treated for high blood pressure (BP) with medications since sleep study,자동매핑후보,SNOMED:59621000,Essential hypertension,snomed,관련,LLM판정-검증ID
Treated for sleep apnea since Sleep Heart Health Study (SHHS) test,자동매핑후보,MONDO:0005296,sleep apnea syndrome,mondo,관련,LLM판정-검증ID
Treatment prescribed: Continuous Positive Airway Pressure (CPAP) or Bilevel Positive Airway Pressure (BiPAP),자동매핑후보,EFO:0010719,continuous positive airway pressure,efo,관련,LLM판정-검증ID
Treatment prescribed: change sleep position,자동매핑후보,SNOMED:40199007,Supine body position,snomed,관련,LLM판정-검증ID
Wake up during night - unable to get back to sleep,자동매핑후보,HP:0012452,Restless legs,hp,관련,LLM재질의(sleep maintenance insomnia)
Wake up too early in the morning - unable to get back to sleep,자동매핑후보,HP:0031356,Terminal insomnia,hp,관련,LLM재질의(early morning awakening)
Current smoking status,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Triglycerides,자동매핑후보,EFO:0004530,triglyceride measurement,efo,등가,LLM재질의(triglyceride measurement)
Lights out time,관리변수,,(매핑비대상),,무매핑,LLM판정-관리변수
Number of sleep to awake shifts,자동매핑후보,HP:5200298,Abnormal sleep architecture,hp,관련,LLM판정-검증ID
Number of stage 2 to stage 1 shifts during sleep,자동매핑후보,HP:5200298,Abnormal sleep architecture,hp,관련,LLM판정-검증ID
Number of stage 2 to stage 1 shifts per hour of sleep,자동매핑후보,HP:5200298,Abnormal sleep architecture,hp,관련,LLM판정-검증ID
Number of stage 3/4 to stage 1/2 shifts during sleep,자동매핑후보,HP:5200298,Abnormal sleep architecture,hp,관련,LLM판정-검증ID
Number of stage 3/4 to stage 1/2 shifts per hour of sleep,자동매핑후보,HP:5200298,Abnormal sleep architecture,hp,관련,LLM판정-검증ID
Percent of sleep time in Apnea or Hypopnea with arousal,자동매핑후보,HP:0002104,Apnea,hp,관련,LLM재질의(apnea)
Percent of sleep time in Apnea+Hypopnea with greater than >=3% oxygen desaturation,자동매핑후보,HP:0002104,Apnea,hp,관련,LLM재질의(apnea)
Percent of sleep time in Apnea+Hypopnea with greater than >=3% oxygen desaturation or arousal,자동매핑후보,HP:0002104,Apnea,hp,관련,LLM재질의(apnea)
Percent of sleep time oxygen saturation (SaO2) is below 70%,자동매핑후보,HP:0034312,Nocturnal hypoxemia,hp,관련,LLM판정-후보1
Percent of sleep time oxygen saturation (SaO2) is below 75%,자동매핑후보,HP:0034312,Nocturnal hypoxemia,hp,관련,LLM판정-후보1
Percent of sleep time oxygen saturation (SaO2) is below 80%,자동매핑후보,HP:0034312,Nocturnal hypoxemia,hp,관련,LLM판정-후보1
Percent of sleep time oxygen saturation (SaO2) is below 85%,자동매핑후보,HP:0034312,Nocturnal hypoxemia,hp,관련,LLM판정-후보1
Percent of sleep time oxygen saturation (SaO2) is below 90%,자동매핑후보,HP:0034312,Nocturnal hypoxemia,hp,관련,LLM판정-후보1
Percent of sleep time oxygen saturation (SaO2) is below 95%,자동매핑후보,HP:0034312,Nocturnal hypoxemia,hp,관련,LLM판정-후보1
Percent of sleep time with less than 75% oxygen saturation (SaO2),자동매핑후보,HP:0034312,Nocturnal hypoxemia,hp,관련,LLM판정-후보1
Percent of sleep time with less than 80% oxygen saturation (SaO2),자동매핑후보,HP:0034312,Nocturnal hypoxemia,hp,관련,LLM판정-후보1
Percent of sleep time with less than 85% oxygen saturation (SaO2),자동매핑후보,HP:0034312,Nocturnal hypoxemia,hp,관련,LLM판정-후보1
Percent of sleep time with less than 90% oxygen saturation (SaO2),자동매핑후보,HP:0034312,Nocturnal hypoxemia,hp,관련,LLM판정-후보1
Sleep Time,자동매핑후보,NBO:0000160,sleep duration,mondo,관련,LLM판정-검증ID
Sleep onset time,자동매핑후보,SNOMED:288101000119104,"Behavioral insomnia of childhood, sleep onset association type (disorder)",snomed,관련,LLM재질의(sleep onset)
Sleep time when entire sleep was captured,자동매핑후보,NBO:0000160,sleep duration,mondo,관련,LLM판정-검증ID
Time in Stage 1,자동매핑후보,HP:5200298,Abnormal sleep architecture,hp,관련,LLM판정-검증ID
Time in Stage 2,자동매핑후보,HP:5200298,Abnormal sleep architecture,hp,관련,LLM판정-검증ID
Time in bed,자동매핑후보,NBO:0000160,sleep duration,mondo,관련,LLM판정-검증ID
Time in rapid eye movement sleep (REM),자동매핑후보,HP:5200298,Abnormal sleep architecture,hp,관련,LLM판정-검증ID
Total Sleep Time,자동매핑후보,NBO:0000160,sleep duration,mondo,관련,LLM판정-검증ID
Total Time in Bed,자동매핑후보,NBO:0000160,sleep duration,mondo,관련,LLM판정-검증ID
Alcohol use,자동매핑후보,NCIT:C16273,Alcohol Consumption,mondo,관련,LLM판정-검증ID
Bring up phlegm,자동매핑후보,EFO:0009824,"bringing up phlegm, sputum or mucus on most days, self-reported",efo,등가,LLM판정-후보1
Coughing on most days,자동매핑후보,SNOMED:68154008,Chronic cough,snomed,관련,LLM재질의(chronic cough)
Current Asthma,자동매핑후보,SNOMED:312453004,Asthma - currently active,snomed,등가,LLM판정-후보1
History of Diabetes,자동매핑후보,HP:0000819,Diabetes mellitus,hp,관련,LLM재질의(diabetes mellitus)
History of Pacemaker,자동매핑후보,SNOMED:14106009,Cardiac pacemaker,snomed,관련,LLM재질의(cardiac pacemaker)
History of restless leg syndrome (RLS),자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Previous history of myocardial infarction (MI),자동매핑후보,MONDO:0005068,myocardial infarction,mondo,관련,LLM판정-검증ID
Alpha-Blockers With Diuretics,자동매핑후보,CHEBI:37890,alpha-adrenergic antagonist,efo,등가,LLM판정-후보2
Alpha-Blockers Without Diuretics,자동매핑후보,CHEBI:37890,alpha-adrenergic antagonist,efo,등가,LLM판정-후보2
Any Anti-Hypertensive Medication,자동매핑후보,CHEBI:35674,antihypertensive agent,efo,등가,LLM재질의(antihypertensive agent)
Any Lipid-Lowering Medication,자동매핑후보,CHEBI:35679,antilipemic drug,efo,관련,LLM판정-검증ID
Benzodiazepines,자동매핑후보,SNOMED:372664007,Benzodiazepine,snomed,등가,LLM재질의(benzodiazepine)
Beta-blockers with diuretics,자동매핑후보,SNOMED:734698003,Beta adrenergic receptor antagonist (disposition),snomed,등가,LLM재질의(beta adrenergic antagonist)
Beta-blockers without diuretics,자동매핑후보,SNOMED:734698003,Beta adrenergic receptor antagonist (disposition),snomed,등가,LLM재질의(beta adrenergic antagonist)
Biguanides,자동매핑후보,SNOMED:1363127000,Biguanide hypoglycemic agent (substance),snomed,등가,LLM판정-후보3
Bile-Acid Sequestrants,자동매핑후보,SNOMED:372872006,Bile acid sequestrant antilipemic agent (substance),snomed,등가,LLM판정-후보1
Bile-acid sequestrant,자동매핑후보,SNOMED:372872006,Bile acid sequestrant antilipemic agent (substance),snomed,등가,LLM판정-후보1
Combinations Of Angiotensin II Antagonists Plus Diuretics,자동매핑후보,SNOMED:734629003,Angiotensin II receptor antagonist,snomed,등가,LLM판정-후보1
Fibrates,자동매핑후보,SNOMED:860926007,Fibric acid and/or fibric acid derivative,snomed,등가,LLM재질의(fibric acid)
Inhibitors Of Adenosine Diphosphate (ADP)-Induced Platelet Aggregation,자동매핑후보,GO:1903493,response to clopidogrel,efo,등가,LLM재질의(antiplatelet agent)
Insulins,자동매핑후보,SNOMED:67866001,Insulin,snomed,등가,LLM재질의(insulin)
Nitrates,자동매핑후보,SNOMED:372700007,Nitrate-based vasodilating agent,snomed,등가,LLM판정-후보1
Oral Hypoglycemic Agents,자동매핑후보,CHEBI:35526,hypoglycemic agent,efo,등가,LLM재질의(hypoglycemic agent)
