개념라벨,판정,큐레이션질의,규칙,폴더예시,코호트
Arousal Index,신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
Arousal Index (Non-rapid eye movement sleep (NREM)),신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
Arousal Index (NREM): Number of arousals per hour of NREM sleep from type II polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
"Arousal Index (NREM, Non-Supine): Number of arousals per hour of NREM sleep in non-supine position from type II polysomnography",신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
"Arousal Index (NREM, Supine): Number of arousals per hour of NREM sleep in supine position from type II polysomnography",신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
Arousal Index (Rapid eye movement sleep (REM)),신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
Arousal Index (REM): Number of arousals per hour of REM sleep from type II polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
"Arousal Index (REM, Non-Supine): Number of arousals per hour of REM sleep in non-supine position from type II polysomnography",신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
"Arousal Index (REM, Supine): Number of arousals per hour of REM sleep in supine position from type II polysomnography",신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
Arousal Index: Number of arousals per hour of sleep from polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Harmonized/Polysomnography/Arousals,MESA
Arousal Index: Number of arousals per hour of sleep from type II polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
"Arousals per hour (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)",신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
"Arousals per hour (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)",신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
"Arousals per hour (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)",신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
"Arousals per hour (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)",신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
Aspirin From 280804 (Anti-Inflam Agents),재질의,aspirin,med-aspirin,Medications,SHHS
Asthma attack in last 12 months,재질의,asthma attack|asthma,mh-asthma,Medical History,SHHS
Average oxygen saturation (SaO2) in sleep,재질의,oxygen saturation measurement|oxygen saturation,psg-sat,Measurements/Polysomnography/Oxygen Saturation,SHHS
Average oxygen saturation in sleep,재질의,oxygen saturation measurement|oxygen saturation,psg-sat,Harmonized/Polysomnography/Oxygen Saturation,MESA
Central Apnea Index - numer of [central apneas] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Central Apnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
Central Apnea-Hypopnea Index (AHI) >= 3% - number of [central apneas] and [hypopneas with >= 3% oxygen desaturation or arousal] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
